step_name,node_name,average_download_time_seconds,average_instance_start_time_seconds
01-01-retrieve,Cloud1,3.99453538070000000000,4.56927234240000000000
01-01-retrieve,Cloud2,4.03556522200000000000,4.59081772790000000000
01-01-retrieve,Cloud3,4.53826423690000000000,5.71134275260000000000
01-01-retrieve,Cloud4,4.54801187800000000000,5.13749119220000000000
01-01-retrieve,Cloud5,4.75972812070000000000,5.79399462580000000000
01-01-retrieve,Cloud6,4.76752300900000000000,5.69837051460000000000
01-01-retrieve,Cloud7,4.31975957930000000000,4.86228142080000000000
01-01-retrieve,Cloud8,4.36822655880000000000,4.88987385630000000000
01-01-retrieve,Fog2,5.43640285630000000000,6.24052888380000000000
01-01-retrieve,Fog3,5.15786659870000000000,5.86347313480000000000
01-02-prepare-and-store,Cloud1,6.54919461820000000000,8.39661388200000000000
01-02-prepare-and-store,Cloud2,6.29783096800000000000,8.07864615620000000000
01-02-prepare-and-store,Cloud3,7.74862698800000000000,9.61448246240000000000
01-02-prepare-and-store,Cloud4,7.79068411910000000000,9.77316417670000000000
01-02-prepare-and-store,Cloud5,7.79773368550000000000,10.72740338190000000000
01-02-prepare-and-store,Cloud6,7.83457441500000000000,10.92972886640000000000
01-02-prepare-and-store,Cloud7,7.18309056360000000000,9.11458337500000000000
01-02-prepare-and-store,Cloud8,7.11686891070000000000,9.32238906610000000000
01-02-prepare-and-store,Fog2,9.29456752880000000000,10.93209061200000000000
01-02-prepare-and-store,Fog3,8.49895168030000000000,10.35594122320000000000
02-01-retrieve,Cloud1,4.00150662240000000000,4.68640073480000000000
02-01-retrieve,Cloud2,3.95348953880000000000,4.37724881660000000000
02-01-retrieve,Cloud3,4.57446920090000000000,5.20548347510000000000
02-01-retrieve,Cloud4,4.48950664540000000000,5.03800382130000000000
02-01-retrieve,Cloud5,4.75654290410000000000,5.70173855630000000000
02-01-retrieve,Cloud6,4.75996461160000000000,5.82078448020000000000
02-01-retrieve,Cloud7,4.37514259800000000000,4.85888678570000000000
02-01-retrieve,Cloud8,4.27923151230000000000,5.07093577780000000000
02-01-retrieve,Fog2,5.37283145850000000000,6.12056600630000000000
02-01-retrieve,Fog3,5.20431372580000000000,5.93801337010000000000
02-02-slice,Cloud1,6.28943262710000000000,8.14329585480000000000
02-02-slice,Cloud2,6.28589073450000000000,7.99772910960000000000
02-02-slice,Cloud3,7.47420362290000000000,9.30444318850000000000
02-02-slice,Cloud4,7.67781816670000000000,9.48095581750000000000
02-02-slice,Cloud5,7.56689081050000000000,10.46995256880000000000
02-02-slice,Cloud6,7.62530801640000000000,10.54667655720000000000
02-02-slice,Cloud7,7.01410976890000000000,8.86737033800000000000
02-02-slice,Cloud8,6.65388051160000000000,8.69561221180000000000
02-02-slice,Fog2,9.23900216300000000000,11.06108071160000000000
02-02-slice,Fog3,8.37950010620000000000,10.27331363060000000000
02-03-prepare,Cloud1,6.56513097050000000000,8.31126487430000000000
02-03-prepare,Cloud2,6.33513395320000000000,8.29486494180000000000
02-03-prepare,Cloud3,7.65160314730000000000,9.74255515010000000000
02-03-prepare,Cloud4,7.77260115290000000000,9.76879376540000000000
02-03-prepare,Cloud5,7.84306873620000000000,10.85760078010000000000
02-03-prepare,Cloud6,7.99802045940000000000,11.00320635010000000000
02-03-prepare,Cloud7,7.14407242200000000000,9.30693046110000000000
02-03-prepare,Cloud8,7.15937491680000000000,9.17327247280000000000
02-03-prepare,Fog2,9.26079943680000000000,11.12306964900000000000
02-03-prepare,Fog3,8.64399989090000000000,10.49869192280000000000
